pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
448,76,2,"AND","","","","","20231023135105","20231023135105","939370","939370",0
449,76,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_H255_ZONE","20231023135105","20231023135105","939370","939370",0
450,77,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135129","20231023135129","939370","939370",0
451,77,2,"AND","","","","","20231023135129","20231023135129","939370","939370",0
452,77,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_H255_ZONE","20231023135129","20231023135129","939370","939370",0
453,78,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135349","20231023135349","939370","939370",0
454,78,2,"AND","","","","","20231023135349","20231023135349","939370","939370",0
455,78,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_H255_ZONE","20231023135349","20231023135349","939370","939370",0
456,79,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135413","20231023135413","939370","939370",0
457,79,2,"AND","","","","","20231023135413","20231023135413","939370","939370",0
458,79,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_H255_ZONE","20231023135413","20231023135413","939370","939370",0
459,80,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135612","20231023135612","939370","939370",0
460,80,2,"AND","","","","","20231023135612","20231023135612","939370","939370",0
461,80,3,"","pcklst","pcklst_rule_id","=","76","20231023135612","20231023135612","939370","939370",0
462,80,4,"AND","","","","","20231023135612","20231023135612","939370","939370",0
463,80,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_H255_ZONE","20231023135612","20231023135612","939370","939370",0
464,81,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135718","20231023135718","939370","939370",0
465,81,2,"AND","","","","","20231023135718","20231023135718","939370","939370",0
466,81,3,"","pcklst","pcklst_rule_id","=","78","20231023135718","20231023135718","939370","939370",0
467,81,4,"AND","","","","","20231023135718","20231023135718","939370","939370",0
468,81,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_H255_ZONE","20231023135718","20231023135718","939370","939370",0
469,82,1,"","pck_zone","pck_zone_cod","=","H255-P-01","20231023135752","20231023135752","939370","939370",0
470,82,2,"AND","","","","","20231023135752","20231023135752","939370","939370",0
471,82,3,"","pcklst","pcklst_rule_id","=","77","20231023135752","20231023135752","939370","939370",0
472,82,4,"AND","","","","","20231023135752","20231023135752","939370","939370",0
473,82,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_H255_ZONE","20231023135752","20231023135752","939370","939370",0
