var_nam,appl_id,frm_id,addon_id,cust_lvl,ena_flg,const_flg,def_typ,char_val,int_val,flt_val,dt_val,def_cmd,grp_nam
"bulk_pck_flg","prtftpmstmntsupr","prtftpmstmntsupr","LES",0,1,0,"","",0,0,"","","sal_data"
"bulk_pck_flg","prtftpmstovrdmnt","prtftpmstovrdmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"bulk_pck_flg","shpalocopr","procordbat","LES",0,1,1,"","",1,0,"","","dcs_data"
"bulk_pck_flg","waveopr","allocatewave","LES",0,1,1,"","",1,0,"","","dcs_data"
"bundle_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"cancelled_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"candte","canpckdsp","canpckdsp","LES",0,0,1,"","-1T|1T",0,0,"","","dcs_data"
"canflg","LES","xdkcanopr","LES",0,1,1,"","",0,0,"","","dcs_data"
"cap_fill_flg","LES","LES","LES",0,1,0,"","",1,0,"","","dcs_data"
"capture_pick_qty","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"capture_put_qty","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"capture_rpl_qty","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"capture_trailer_id","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"carflg","LES","CustomerMnt","LES",0,1,0,"","",0,0,"","","sal_data"
"carflg","LES","ordmnt","LES",0,1,0,"","",1,0,"","","dcs_data"
"cas_flg","LES","LES","LES",0,1,0,"","",0,0,"","","sal_data"
"catch_qty","LES","cntentopr","LES",0,1,1,"","",0,0.0,"","","dcs_data"
"chkCloseTrailer","LES","shpLoadTrailer","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkCloseTruck","LES","clswkoopr","LES",0,1,1,"","",1,0,"","","dcs_data"
"chkDispatchTrailer","LES","clsrcvtrkopr","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkDispatchTrailer","LES","shpCloseTrailer","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkDispatchTrailer","LES","shpLoadTrailer","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkflg","LES","specinsmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"chkForMarriedLines","LES","shpplanopr","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkResetTrace","LES","ctlasyncmoca","SEAMLES",0,1,1,"","",1,0,"","","int_data"
"chkSelAllOrNoneForRealloc","LES","LES","LES",0,1,1,"","",1,0,"","","dcs_data"
"chkShowIFDTag","LES","ifdasxml","SEAMLES",0,1,1,"","",1,0,"","","int_data"
"chkShowSelAssFtp","LES","LES","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkShowSelAssPrt","LES","LES","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkShowSelAvaFtp","LES","LES","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkShowSelAvaPrt","LES","LES","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkShowShipments","LES","smlpkgopr","LES",0,1,1,"","",1,0,"","","sal_data"
"chkShowStaged","LES","shpdckopr","LES",0,1,1,"","",1,0,"","","dcs_data"
"chkShowSup","LES","LES","LES",0,1,1,"","",1,0,"","","dcs_data"
"chkShowUnstaged","LES","shpdckopr","LES",0,1,1,"","",0,0,"","","dcs_data"
"chkworkorderlines","LES","procwko","LES",0,1,1,"","",1,0,"","","dcs_data"
"chkworkorders","LES","procwko","LES",0,1,1,"","",1,0,"","","dcs_data"
"cipflg","LES","locmstmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"cipflg","LES","locmstovr","LES",0,1,0,"","",0,0,"","","dcs_data"
"client_id","LES","LES","3pl",0,1,0,"","",0,0,"","","sal_data"
"client_id","LES","LES","LES",0,1,0,"","----",0,0,"","","sal_data"
"client_id","LES","pckcanopr","LES",0,0,0,"","",0,0,"","","dcs_data"
"client_id","LES","pcklstrulsetcopy","LES",0,1,1,"","----",0,0,"","","dcs_data"
"client_id","LES","SALMOCAReportOpr","LES",0,1,0,"","",0,0,"","","sal_data"
"client_id","ordmnt","ordcopy","3pl",0,1,1,"","",0,0,"","","dcs_data"
"client_id","ordmnt","ordcopy","LES",0,1,1,"","----",0,0,"","","dcs_data"
"client_id","RPWEB","rp|mocareportopr","LES",0,1,0,"","",0,0,"","","salweb_data"
"client_id","SALClientMnt","LES","LES",0,0,0,"","",0,0,"","","sal_data"
"clr_dstloc_flg","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"cmd_btn_flg","LES","LES","LES",0,1,0,"","",0,0,"","","sal_data"
"cmp_trk_flg","LES","bommnt","LES",0,1,0,"","",1,0,"","","dcs_data"
"cmp_trk_flg","LES","wkomnt","LES",0,1,0,"","",1,0,"","","dcs_data"
"cmpflg","LES","rplcfgmnt","LES",0,0,0,"","",0,0,"","","dcs_data"
"cnfrm_val_var_nam","LES","servinsactmnt","LES",0,1,0,"","var_value",0,0,"","","dcs_data"
"cnsg_cod","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"cnsg_flg","LES","rcvdtlmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"cnsg_flg","retprcopr","identify","LES",0,1,0,"","",0,0,"","","dcs_data"
"cnsg_period","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"cntbck_ena_cod","LES","LES","LES",0,1,0,"","R",0,0,"","","mcs_data"
"cntbck_ena_flg","LES","LES","LES",0,1,0,"","",0,0,"","","sal_data"
"cntbck_ena_flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"cntbck_ena_flg","LES","prtmstovrdmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"cntflg","LES","AreMstFlagsWiz","LES",0,1,0,"","",1,0,"","","dcs_data"
"cnttyp","LES","ccnttmplmnt","LES",0,1,0,"","C",0,0,"","","dcs_data"
"cnttyp","LES","cntreqopr","LES",0,1,0,"","C",0,0,"","","dcs_data"
