dyn_cfg_id,appl_id,frm_id,addon_id,cust_lvl,inp_mod,var_nam_lst,les_cmd_id,moddte,mod_usr_id,grp_nam
"usr_wko_asset_typ","dcsrdt","ASSET_IDENTIFY","LES",10,"A","asset_typ","usr_def_wko_asset_typ","20230330150714","938673","usr_data"
"usr_wko_existing_lpn","dcsrdt","EXISTING_LOAD","LES",10,"A","ok_delete,ok_add_to","usr_def_wko_wko_existing_lpn","20230406092235","938673","usr_data"
"usr_wko_ftpcod","dcsrdt","IDENTIFY_LOAD","LES",10,"A","untpak,untcas,untpal,wrkuntpak,wrkuntcas,wrkuntpal,ftpcod,invsts,rcvuom,lodlvl,stdstkuom,lotflg,orgflg,revflg,rcvflg","usr_def_wko_ftpcod","20230330150714","938673","usr_data"
"usr_wko_ro_fields","dcsrdt","IDENTIFY_LOAD","LES",10,"A","ftpcod,lotnum,invsts","usr_ro_lotnum_ftpcod","20230505000000","938673","usr_data"
"usr_wko_supnum","dcsrdt","IDENTIFY_LOAD","LES",10,"A","supnum","usr_def_wko_supnum","20230330150714","938673","usr_data"
"wh_id_cfg_c","invpolovrdmnt","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","LES","cliwhmnt","LES",0,"D","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","LES","invdspmw","LES",0,"D","wh_id","set_wh_framework_configuration","","","dcs_data"
"wh_id_cfg_c","LES","LES","LES",0,"C","wh_id","set_wh_framework_configuration","","","dcs_data"
"wh_id_cfg_c","LES","VarCfgMnt","LES",0,"D","wh_id","wh_id_mcs_cfg","","","mcs_data"
"wh_id_cfg_c","LES","whcopy","LES",0,"D","wh_id","set_wh_framework_configuration","","","dcs_data"
"wh_id_cfg_c","LES","whmnt","LES",0,"D","wh_id","set_wh_framework_configuration","","","dcs_data"
"wh_id_cfg_c","logpolovrdmnt","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","ordconpolovrdmnt","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","ordovrpolovrdmnt","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","pcklstcfgmntoverride","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","rcvpolovrdmnt","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","rdtpolovrdmnt","LES","LES",0,"C","wh_id","disable_warehouse_field","","","dcs_data"
"wh_id_cfg_c","RPWEB","rp|default","LES",0,"A","usr_id","wm_web_login","","","dcsweb_data"
